Número do Comentário,Estrelas Gemini
1,5
2,5
3,5
4,4
5,5
6,4
7,5
8,5
9,4
10,5
11,5
12,4
13,5
14,5
15,5
16,4
17,4
18,5
19,5
20,5
21,5
22,5
23,5
24,4
25,5
26,5
27,5
28,5
29,3
30,5
31,5
32,5
33,5
34,1
35,3
36,2
37,5
38,2
39,5
40,5
41,5
42,5
43,5
44,5
45,3
46,5
47,5
48,4
49,5
50,5
1000,5
1001,5
1002,5
1003,5
1004,5
1005,5
1006,5
1007,4
1008,4
1009,5
1010,5
1011,5
1012,5
1013,5
1014,5
1015,5
1016,4
1017,5
1018,5
1019,5
1020,5
1021,5
1022,5
1023,5
1024,5
1025,5
1026,4
1027,5
1028,5
1029,5
1030,5
1031,5
1032,5
1033,5
1034,5
1035,5
1036,5
1037,4
1038,3
1039,5
1040,5
1041,5
1042,3
1043,5
1044,5
1045,5
1046,4
1047,5
1048,5
1049,5
4235,5
4236,5
4237,4
4238,5
4239,5
4240,5
4241,5
4242,5
4243,5
4244,5
4245,5
4246,5
4247,5
4248,4
4249,5
4250,5
4251,5
4252,5
4253,5
4254,5
4255,5
4256,5
4257,5
4258,5
4259,4
4260,5
4261,5
4262,4
4263,5
4264,5
4265,5
4266,5
4267,5
4268,5
4269,5
4270,5
4271,5
4272,5
4273,5
4274,4
4275,3
4276,5
4277,5
4278,4
4279,3
4280,5
4281,5
4282,5
4283,4
4284,5
6000,5
6001,5
6002,3
6003,5
6004,5
6005,5
6006,5
6007,5
6008,5
6009,4
6010,5
6011,5
6012,5
6013,5
6014,5
6015,5
6016,5
6017,4
6018,4
6019,5
6020,5
6021,5
6022,5
6023,5
6024,5
6025,5
6026,5
6027,5
6028,4
6029,5
6030,5
6031,4
7454,5
7455,4
7456,5
7457,5
7458,5
7459,5
7460,4
7461,5
7462,4
7463,5
7464,5
7465,2
7466,5
7467,5
7468,4
7469,5
7470,5
7471,5
7472,4
7473,4
7474,5
7475,4
7476,5
7477,5
7478,5
7479,5
7480,4
7481,5
7482,5
7483,5
7484,5
7485,5
7486,5
7487,5
7488,5
7489,5
7490,4
7491,5
7492,5
7493,5
7494,5
7495,5
7496,5
7497,5
7498,5
7499,5
7500,5
7501,5
7502,4
7503,5
10036,5
10037,4
10038,5
10039,5
10040,5
10041,4
10042,5
10043,4
10044,5
10045,5
10046,5
10047,5
10048,5
10049,3
10050,5
10051,5
10052,5
10053,5
11000,4
11001,2
11002,4
11003,5
11004,5
11005,4
11006,5
11007,5
11008,5
11009,5
11010,4
11011,5
11012,5
11013,5
11014,5
11015,5
11016,5
11017,5
11018,5
11019,5
11020,4
11021,5
11022,5
11023,4
11024,5
11025,5
11026,5
11027,4
11028,5
11029,5
11030,4
11031,5
11032,5
11033,3
11034,5
11035,5
11036,5
11037,5
11038,3
11039,5
11040,5
11041,5
11042,5
11043,5
11044,5
11045,5
11046,5
11047,Sem avaliação (comentário irrelevante)
11048,4
11049,5
